cmpLongName,fldName,cmpRemainingOil,cmpRemainingGas,cmpRemainingNGL,cmpRemainingCondensate,cmpRemainingOE,cmpDateOffResEstDisplay,cmpShare,fldNpdidField,cmpNpdidCompany,DatesyncNPD
A/S Norske Shell,GAUPE,0.00,0.00,0.00,0.00,0.00,31.12.2018,60.00000,18161341,562,20.02.2019
A/S Norske Shell,HULDRA,0.00,0.00,0.00,0.00,0.00,31.12.2018,30.00000,97002,562,20.02.2019
A/S Norske Shell,KNARR,0.79,0.01,0.01,0.00,0.82,31.12.2018,45.00000,20460988,562,20.02.2019
A/S Norske Shell,KVITEBJØRN,0.30,1.50,0.15,0.00,2.10,31.12.2018,6.45000,1036101,562,20.02.2019
A/S Norske Shell,ORMEN LANGE,0.00,17.64,0.00,0.84,18.48,31.12.2018,17.81340,2762452,562,20.02.2019
A/S Norske Shell,SINDRE,0.00,0.00,0.00,0.00,0.00,31.12.2018,3.23000,29401178,562,20.02.2019
A/S Norske Shell,TROLL,1.14,63.59,1.06,0.00,66.74,31.12.2018,8.10145,46437,562,20.02.2019
A/S Norske Shell,VALEMON,0.02,0.14,0.00,0.00,0.16,31.12.2018,3.22500,20460969,562,20.02.2019
Aker BP ASA,ALVHEIM,6.98,3.33,0.00,0.00,10.32,31.12.2018,65.00000,2845712,28544099,20.02.2019
Aker BP ASA,ATLA,0.00,0.00,0.00,0.00,0.00,31.12.2018,10.00000,21106284,28544099,20.02.2019
Aker BP ASA,BØYLA,0.51,0.01,0.00,0.00,0.53,31.12.2018,65.00000,22492497,28544099,20.02.2019
Aker BP ASA,ENOCH,0.00,0.00,0.00,0.00,0.00,31.12.2018,2.00000,3437659,28544099,20.02.2019
Aker BP ASA,FRØY,0.00,0.00,0.00,0.00,0.00,31.12.2018,90.26000,43597,28544099,20.02.2019
Aker BP ASA,GINA KROG,0.37,0.40,0.07,0.00,0.90,31.12.2018,3.30000,23384544,28544099,20.02.2019
Aker BP ASA,GLITNE,0.00,0.00,0.00,0.00,0.00,31.12.2018,40.00000,1272071,28544099,20.02.2019
Aker BP ASA,HANZ,0.80,0.13,0.02,0.00,0.97,31.12.2018,35.00000,25307278,28544099,20.02.2019
Aker BP ASA,HOD,0.49,0.06,0.01,0.00,0.57,31.12.2018,90.00000,43485,28544099,20.02.2019
Aker BP ASA,IVAR AASEN,6.40,1.02,0.16,0.00,7.73,31.12.2018,34.78620,23384520,28544099,20.02.2019
Aker BP ASA,JETTE,0.00,0.00,0.00,0.00,0.00,31.12.2018,70.00000,21613906,28544099,20.02.2019
Aker BP ASA,JOHAN SVERDRUP,47.05,1.19,0.52,0.00,49.23,31.12.2018,11.57330,26376286,28544099,20.02.2019
Aker BP ASA,LILLE-FRIGG,0.00,0.00,0.00,0.00,0.00,31.12.2018,40.00000,43583,28544099,20.02.2019
Aker BP ASA,MIME,0.00,0.00,0.00,0.00,0.00,31.12.2018,60.00000,43792,28544099,20.02.2019
Aker BP ASA,ODA,0.76,0.03,0.00,0.00,0.79,31.12.2018,15.00000,29412516,28544099,20.02.2019
Aker BP ASA,SKARV,1.44,3.96,0.44,0.00,6.24,31.12.2018,23.83500,4704482,28544099,20.02.2019
Aker BP ASA,SKOGUL,0.87,0.09,0.00,0.00,0.96,31.12.2018,65.00000,31164600,28544099,20.02.2019
Aker BP ASA,TAMBAR,0.92,0.23,0.02,0.00,1.19,31.12.2018,55.00000,1028599,28544099,20.02.2019
Aker BP ASA,TAMBAR ØST,0.03,0.00,0.00,0.00,0.03,31.12.2018,46.20000,4999528,28544099,20.02.2019
Aker BP ASA,ULA,6.01,0.00,0.09,0.00,6.18,31.12.2018,80.00000,43800,28544099,20.02.2019
Aker BP ASA,VALHALL,37.23,6.35,0.84,0.00,45.17,31.12.2018,90.00000,43548,28544099,20.02.2019
Aker BP ASA,VILJE,1.12,0.00,0.00,0.00,1.12,31.12.2018,46.90400,3392471,28544099,20.02.2019
Aker BP ASA,VOLUND,1.68,0.34,0.00,0.00,2.02,31.12.2018,65.00000,4380167,28544099,20.02.2019
Aker BP ASA,ÆRFUGL,1.37,7.17,0.80,0.00,10.07,31.12.2018,23.83500,33310197,28544099,20.02.2019
Aker BP ASA,ØST FRIGG,0.00,0.00,0.00,0.00,0.00,31.12.2018,40.00000,43576,28544099,20.02.2019
CapeOmega AS,BRYNHILD,0.00,0.00,0.00,0.00,0.00,31.12.2018,49.00000,21123063,31044668,20.02.2019
CapeOmega AS,ENOCH,0.01,0.00,0.00,0.00,0.01,31.12.2018,4.36000,3437659,31044668,20.02.2019
CapeOmega AS,OSELVAR,0.00,0.00,0.00,0.00,0.00,31.12.2018,45.00000,5506919,31044668,20.02.2019
Capricorn Norge AS,NOVA,1.83,0.43,0.13,0.00,2.50,31.12.2018,20.00000,33197696,23297570,20.02.2019
ConocoPhillips Skandinavia AS,ALBUSKJELL,0.00,0.00,0.00,0.00,0.00,31.12.2018,35.11200,43437,2410696,20.02.2019
ConocoPhillips Skandinavia AS,ALVHEIM,2.15,1.03,0.00,0.00,3.17,31.12.2018,20.00000,2845712,2410696,20.02.2019
ConocoPhillips Skandinavia AS,COD,0.00,0.00,0.00,0.00,0.00,31.12.2018,35.11200,43785,2410696,20.02.2019
ConocoPhillips Skandinavia AS,EDDA,0.00,0.00,0.00,0.00,0.00,31.12.2018,35.11200,43541,2410696,20.02.2019
ConocoPhillips Skandinavia AS,EKOFISK,25.78,3.87,0.48,0.00,30.56,31.12.2018,35.11200,43506,2410696,20.02.2019
ConocoPhillips Skandinavia AS,ELDFISK,8.09,0.92,0.13,0.00,9.27,31.12.2018,35.11200,43527,2410696,20.02.2019
ConocoPhillips Skandinavia AS,EMBLA,0.26,0.25,0.03,0.00,0.57,31.12.2018,35.11200,43534,2410696,20.02.2019
ConocoPhillips Skandinavia AS,GIMLE,0.00,0.00,0.00,0.00,0.00,31.12.2018,5.78500,4005142,2410696,20.02.2019
ConocoPhillips Skandinavia AS,GRANE,1.85,0.00,0.00,0.00,1.85,31.12.2018,6.16640,1035937,2410696,20.02.2019
ConocoPhillips Skandinavia AS,HEIDRUN,8.57,6.12,0.32,0.00,15.30,31.12.2018,23.98823,43771,2410696,20.02.2019
ConocoPhillips Skandinavia AS,OSEBERG,0.42,1.58,0.09,0.00,2.17,31.12.2018,2.40000,43625,2410696,20.02.2019
ConocoPhillips Skandinavia AS,OSEBERG SØR,0.29,0.27,0.02,0.00,0.60,31.12.2018,2.40000,43645,2410696,20.02.2019
ConocoPhillips Skandinavia AS,OSEBERG ØST,0.07,0.00,0.00,0.00,0.07,31.12.2018,2.40000,43639,2410696,20.02.2019
ConocoPhillips Skandinavia AS,SINDRE,0.00,0.00,0.00,0.00,0.00,31.12.2018,2.89000,29401178,2410696,20.02.2019
ConocoPhillips Skandinavia AS,TOMMELITEN GAMMA,0.00,0.00,0.00,0.00,0.00,31.12.2018,28.26000,43444,2410696,20.02.2019
ConocoPhillips Skandinavia AS,TOR,0.00,0.00,0.00,0.00,0.00,31.12.2018,30.65799,43520,2410696,20.02.2019
ConocoPhillips Skandinavia AS,TROLL,0.23,12.74,0.21,0.00,13.38,31.12.2018,1.62374,46437,2410696,20.02.2019
ConocoPhillips Skandinavia AS,VEST EKOFISK,0.00,0.00,0.00,0.00,0.00,31.12.2018,35.11200,43513,2410696,20.02.2019
ConocoPhillips Skandinavia AS,VISUND,0.66,3.61,0.44,0.00,5.12,31.12.2018,9.10000,43745,2410696,20.02.2019
ConocoPhillips Skandinavia AS,VISUND SØR,0.02,0.15,0.02,0.00,0.21,31.12.2018,9.10000,20461008,2410696,20.02.2019
ConocoPhillips Skandinavia AS,AASTA HANSTEEN,0.00,5.44,0.00,0.06,5.50,31.12.2018,10.00000,23395946,2410696,20.02.2019
DEA Norge AS,BAUGE,2.19,0.52,0.27,0.00,3.22,31.12.2018,27.50000,29446221,26309819,20.02.2019
DEA Norge AS,DVALIN,0.00,9.86,0.13,0.22,10.33,31.12.2018,55.00000,29393934,26309819,20.02.2019
DEA Norge AS,GJØA,0.09,0.83,0.19,0.00,1.28,31.12.2018,8.00000,4467574,26309819,20.02.2019
DEA Norge AS,HYME,0.36,0.15,0.06,0.00,0.62,31.12.2018,27.50000,20474183,26309819,20.02.2019
DEA Norge AS,KNARR,0.18,0.00,0.00,0.00,0.18,31.12.2018,10.00000,20460988,26309819,20.02.2019
DEA Norge AS,NJORD,2.43,6.73,1.91,0.00,12.77,31.12.2018,50.00000,43751,26309819,20.02.2019
DEA Norge AS,NOVA,0.91,0.21,0.07,0.00,1.25,31.12.2018,10.00000,33197696,26309819,20.02.2019
DEA Norge AS,SKARV,1.69,4.67,0.52,0.00,7.35,31.12.2018,28.08250,4704482,26309819,20.02.2019
DEA Norge AS,SNORRE,7.87,0.00,0.00,0.00,7.87,31.12.2018,8.57108,43718,26309819,20.02.2019
DEA Norge AS,SNØHVIT,0.00,4.37,0.16,0.46,5.12,31.12.2018,2.81000,2053062,26309819,20.02.2019
DEA Norge AS,STATFJORD ØST,0.00,0.00,0.00,0.00,0.00,31.12.2018,1.40000,43672,26309819,20.02.2019
DEA Norge AS,SYGNA,0.01,0.00,0.00,0.00,0.01,31.12.2018,1.26000,104718,26309819,20.02.2019
DEA Norge AS,TORDIS,0.12,0.01,0.01,0.00,0.15,31.12.2018,2.80000,43725,26309819,20.02.2019
DEA Norge AS,VESLEFRIKK,0.18,0.11,0.03,0.00,0.35,31.12.2018,13.50000,43618,26309819,20.02.2019
DEA Norge AS,VIGDIS,0.29,0.00,0.00,0.00,0.29,31.12.2018,2.80000,43732,26309819,20.02.2019
DEA Norge AS,ÆRFUGL,1.61,8.45,0.94,0.00,11.86,31.12.2018,28.08250,33310197,26309819,20.02.2019
Edison Norge AS,DVALIN,0.00,1.79,0.02,0.04,1.88,31.12.2018,10.00000,29393934,25612292,20.02.2019
Edison Norge AS,NOVA,1.37,0.32,0.10,0.00,1.88,31.12.2018,15.00000,33197696,25612292,20.02.2019
Equinor Energy AS,ALBUSKJELL,0.00,0.00,0.00,0.00,0.00,31.12.2018,7.60400,43437,32011216,20.02.2019
Equinor Energy AS,ALVE,0.32,2.28,0.31,0.00,3.18,31.12.2018,85.00000,4444332,32011216,20.02.2019
Equinor Energy AS,BAUGE,2.79,0.66,0.34,0.00,4.09,31.12.2018,35.00000,29446221,32011216,20.02.2019
Equinor Energy AS,BYRDING,0.58,0.46,0.05,0.00,1.14,31.12.2018,70.00000,28975067,32011216,20.02.2019
Equinor Energy AS,COD,0.00,0.00,0.00,0.00,0.00,31.12.2018,7.60400,43785,32011216,20.02.2019
Equinor Energy AS,EDDA,0.00,0.00,0.00,0.00,0.00,31.12.2018,7.60400,43541,32011216,20.02.2019
Equinor Energy AS,EKOFISK,5.58,0.84,0.10,0.00,6.62,31.12.2018,7.60400,43506,32011216,20.02.2019
Equinor Energy AS,ELDFISK,1.75,0.20,0.03,0.00,2.01,31.12.2018,7.60400,43527,32011216,20.02.2019
Equinor Energy AS,EMBLA,0.06,0.05,0.01,0.00,0.12,31.12.2018,7.60400,43534,32011216,20.02.2019
Equinor Energy AS,ENOCH,0.02,0.00,0.00,0.00,0.02,31.12.2018,11.78000,3437659,32011216,20.02.2019
Equinor Energy AS,FRAM,3.29,5.10,0.53,0.00,9.39,31.12.2018,45.00000,1578840,32011216,20.02.2019
Equinor Energy AS,FRAM H-NORD,0.04,0.00,0.00,0.00,0.04,31.12.2018,49.20000,23410947,32011216,20.02.2019
Equinor Energy AS,FRIGG,0.00,0.00,0.00,0.00,0.00,31.12.2018,90.00000,43555,32011216,20.02.2019
Equinor Energy AS,GIMLE,0.00,0.03,0.01,0.00,0.04,31.12.2018,65.13370,4005142,32011216,20.02.2019
Equinor Energy AS,GINA KROG,6.58,7.06,1.22,0.00,15.94,31.12.2018,58.70000,23384544,32011216,20.02.2019
Equinor Energy AS,GOLIAT,7.78,0.00,0.00,0.00,7.78,31.12.2018,35.00000,5774394,32011216,20.02.2019
Equinor Energy AS,GRANE,10.98,0.00,0.00,0.00,10.98,31.12.2018,36.61300,1035937,32011216,20.02.2019
Equinor Energy AS,GUDRUN,2.73,2.82,0.27,0.00,6.05,31.12.2018,36.00000,18116481,32011216,20.02.2019
Equinor Energy AS,GULLFAKS,8.29,0.00,0.00,0.00,8.29,31.12.2018,51.00000,43686,32011216,20.02.2019
Equinor Energy AS,GULLFAKS SØR,4.80,13.26,1.77,0.00,21.42,31.12.2018,51.00000,43699,32011216,20.02.2019
Equinor Energy AS,GUNGNE,0.07,0.34,0.04,0.00,0.50,31.12.2018,62.00000,43464,32011216,20.02.2019
Equinor Energy AS,HANZ,1.15,0.19,0.03,0.00,1.39,31.12.2018,50.00000,25307278,32011216,20.02.2019
Equinor Energy AS,HEIDRUN,4.66,3.33,0.17,0.00,8.32,31.12.2018,13.04316,43771,32011216,20.02.2019
Equinor Energy AS,HEIMDAL,0.00,0.01,0.00,0.00,0.01,31.12.2018,29.44300,43590,32011216,20.02.2019
Equinor Energy AS,HULDRA,0.00,0.00,0.00,0.00,0.00,31.12.2018,70.00000,97002,32011216,20.02.2019
Equinor Energy AS,HYME,0.46,0.20,0.07,0.00,0.78,31.12.2018,35.00000,20474183,32011216,20.02.2019
Equinor Energy AS,IVAR AASEN,7.64,1.22,0.19,0.00,9.21,31.12.2018,41.47300,23384520,32011216,20.02.2019
Equinor Energy AS,JOHAN CASTBERG,44.45,0.00,0.00,0.00,44.45,31.12.2018,50.00000,32017325,32011216,20.02.2019
Equinor Energy AS,JOHAN SVERDRUP,162.74,4.10,1.80,0.00,170.26,31.12.2018,40.02670,26376286,32011216,20.02.2019
Equinor Energy AS,KRISTIN,0.91,1.93,0.43,0.00,3.66,31.12.2018,55.29910,1854729,32011216,20.02.2019
Equinor Energy AS,KVITEBJØRN,1.84,9.22,0.94,0.00,12.85,31.12.2018,39.55000,1036101,32011216,20.02.2019
Equinor Energy AS,LILLE-FRIGG,0.00,0.00,0.00,0.00,0.00,31.12.2018,40.00000,43583,32011216,20.02.2019
Equinor Energy AS,MARTIN LINGE,7.61,18.00,1.53,0.00,28.51,31.12.2018,70.00000,21675447,32011216,20.02.2019
Equinor Energy AS,MARULK,0.06,1.03,0.10,0.00,1.27,31.12.2018,50.00000,18212090,32011216,20.02.2019
Equinor Energy AS,MIKKEL,0.78,4.41,1.12,0.00,7.32,31.12.2018,43.97000,1630514,32011216,20.02.2019
Equinor Energy AS,MORVIN,0.76,0.58,0.15,0.00,1.62,31.12.2018,64.00000,4966234,32011216,20.02.2019
Equinor Energy AS,NJORD,0.97,2.69,0.76,0.00,5.11,31.12.2018,20.00000,43751,32011216,20.02.2019
Equinor Energy AS,NORDØST FRIGG,0.00,0.00,0.00,0.00,0.00,31.12.2018,90.00000,43568,32011216,20.02.2019
Equinor Energy AS,NORNE,1.19,2.09,0.29,0.00,3.82,31.12.2018,39.10000,43778,32011216,20.02.2019
Equinor Energy AS,ODIN,0.00,0.00,0.00,0.00,0.00,31.12.2018,90.00000,43610,32011216,20.02.2019
Equinor Energy AS,ORMEN LANGE,0.00,25.10,0.00,1.20,26.30,31.12.2018,25.34520,2762452,32011216,20.02.2019
Equinor Energy AS,OSEBERG,8.64,32.49,1.77,0.00,44.49,31.12.2018,49.30000,43625,32011216,20.02.2019
Equinor Energy AS,OSEBERG SØR,5.92,5.52,0.50,0.00,12.38,31.12.2018,49.30000,43645,32011216,20.02.2019
Equinor Energy AS,OSEBERG ØST,1.38,0.01,0.02,0.00,1.44,31.12.2018,49.30000,43639,32011216,20.02.2019
Equinor Energy AS,RINGHORNE ØST,0.60,0.00,0.00,0.00,0.60,31.12.2018,14.82000,3505505,32011216,20.02.2019
Equinor Energy AS,SIGYN,0.11,0.19,0.04,0.00,0.36,31.12.2018,60.00000,1630100,32011216,20.02.2019
Equinor Energy AS,SINDRE,0.00,0.02,0.01,0.00,0.03,31.12.2018,52.34000,29401178,32011216,20.02.2019
Equinor Energy AS,SKARV,2.18,6.01,0.67,0.00,9.47,31.12.2018,36.16500,4704482,32011216,20.02.2019
Equinor Energy AS,SKULD,1.04,0.00,0.00,0.00,1.04,31.12.2018,63.95455,21350124,32011216,20.02.2019
Equinor Energy AS,SLEIPNER VEST,1.31,6.10,0.43,0.00,8.23,31.12.2018,58.34944,43457,32011216,20.02.2019
Equinor Energy AS,SLEIPNER ØST,0.04,0.15,0.02,0.00,0.22,31.12.2018,59.60000,43478,32011216,20.02.2019
Equinor Energy AS,SNORRE,30.54,0.00,0.00,0.00,30.54,31.12.2018,33.27556,43718,32011216,20.02.2019
Equinor Energy AS,SNØHVIT,0.00,57.22,2.06,5.97,67.10,31.12.2018,36.79000,2053062,32011216,20.02.2019
Equinor Energy AS,STATFJORD,1.89,3.06,1.04,0.00,6.94,31.12.2018,44.33688,43658,32011216,20.02.2019
Equinor Energy AS,STATFJORD NORD,0.54,0.03,0.01,0.00,0.59,31.12.2018,21.87500,43679,32011216,20.02.2019
Equinor Energy AS,STATFJORD ØST,0.06,0.01,0.00,0.00,0.08,31.12.2018,31.68750,43672,32011216,20.02.2019
Equinor Energy AS,SVALIN,2.22,0.00,0.00,0.00,2.22,31.12.2018,57.00000,22507971,32011216,20.02.2019
Equinor Energy AS,SYGNA,0.21,0.00,0.00,0.00,0.21,31.12.2018,30.70630,104718,32011216,20.02.2019
Equinor Energy AS,TOR,0.00,0.00,0.00,0.00,0.00,31.12.2018,6.63922,43520,32011216,20.02.2019
Equinor Energy AS,TORDIS,1.81,0.20,0.08,0.00,2.16,31.12.2018,41.50000,43725,32011216,20.02.2019
Equinor Energy AS,TRESTAKK,6.70,0.48,0.09,0.00,7.35,31.12.2018,59.10000,29396445,32011216,20.02.2019
Equinor Energy AS,TROLL,4.32,240.04,4.00,0.00,251.96,31.12.2018,30.58385,46437,32011216,20.02.2019
Equinor Energy AS,TUNE,0.02,0.13,0.00,0.00,0.14,31.12.2018,50.00000,853376,32011216,20.02.2019
Equinor Energy AS,TYRIHANS,3.32,18.46,3.69,0.00,28.80,31.12.2018,58.83550,3960848,32011216,20.02.2019
Equinor Energy AS,URD,1.28,0.00,0.00,0.00,1.28,31.12.2018,63.95455,2834734,32011216,20.02.2019
Equinor Energy AS,UTGARD,1.04,1.17,0.33,0.00,2.84,31.12.2018,38.44000,28975098,32011216,20.02.2019
