cmpLongName,fldName,cmpRemainingOil,cmpRemainingGas,cmpRemainingNGL,cmpRemainingCondensate,cmpRemainingOE,cmpDateOffResEstDisplay,cmpShare,fldNpdidField,cmpNpdidCompany,DatesyncNPD
Petoro AS,KRISTIN,0.32,0.68,0.15,0.00,1.30,31.12.2018,19.57700,1854729,1626839,20.02.2019
Petoro AS,KVITEBJØRN,1.40,7.00,0.71,0.00,9.75,31.12.2018,30.00000,1036101,1626839,20.02.2019
Petoro AS,MARIA,2.05,0.17,0.10,0.00,2.41,31.12.2018,30.00000,26465170,1626839,20.02.2019
Petoro AS,MARTIN LINGE,3.26,7.72,0.65,0.00,12.22,31.12.2018,30.00000,21675447,1626839,20.02.2019
Petoro AS,MIME,0.00,0.00,0.00,0.00,0.00,31.12.2018,20.00000,43792,1626839,20.02.2019
Petoro AS,NORNE,1.64,2.89,0.39,0.00,5.28,31.12.2018,54.00000,43778,1626839,20.02.2019
Petoro AS,ORMEN LANGE,0.00,36.14,0.00,1.72,37.86,31.12.2018,36.48500,2762452,1626839,20.02.2019
Petoro AS,OSEBERG,5.89,22.15,1.21,0.00,30.32,31.12.2018,33.60000,43625,1626839,20.02.2019
Petoro AS,OSEBERG SØR,4.03,3.76,0.34,0.00,8.44,31.12.2018,33.60000,43645,1626839,20.02.2019
Petoro AS,OSEBERG ØST,0.94,0.01,0.02,0.00,0.98,31.12.2018,33.60000,43639,1626839,20.02.2019
Petoro AS,REV,0.00,0.00,0.00,0.00,0.01,31.12.2018,30.00000,4467554,1626839,20.02.2019
Petoro AS,SINDRE,0.00,0.01,0.00,0.00,0.01,31.12.2018,27.09000,29401178,1626839,20.02.2019
Petoro AS,SKIRNE,0.01,0.07,0.00,0.00,0.08,31.12.2018,30.00000,2138816,1626839,20.02.2019
Petoro AS,SKULD,0.40,0.00,0.00,0.00,0.40,31.12.2018,24.54546,21350124,1626839,20.02.2019
Petoro AS,SNORRE,27.53,0.00,0.00,0.00,27.53,31.12.2018,30.00000,43718,1626839,20.02.2019
Petoro AS,SNØHVIT,0.00,46.66,1.68,4.87,54.71,31.12.2018,30.00000,2053062,1626839,20.02.2019
Petoro AS,STATFJORD NORD,0.74,0.04,0.01,0.00,0.81,31.12.2018,30.00000,43679,1626839,20.02.2019
Petoro AS,STATFJORD ØST,0.06,0.01,0.00,0.00,0.07,31.12.2018,30.00000,43672,1626839,20.02.2019
Petoro AS,SVALIN,1.17,0.00,0.00,0.00,1.17,31.12.2018,30.00000,22507971,1626839,20.02.2019
Petoro AS,SYGNA,0.21,0.00,0.00,0.00,0.21,31.12.2018,30.00000,104718,1626839,20.02.2019
Petoro AS,TOR,0.00,0.00,0.00,0.00,0.00,31.12.2018,3.68744,43520,1626839,20.02.2019
Petoro AS,TORDIS,1.31,0.14,0.06,0.00,1.56,31.12.2018,30.00000,43725,1626839,20.02.2019
Petoro AS,TROLL,7.90,439.53,7.32,0.00,461.35,31.12.2018,56.00000,46437,1626839,20.02.2019
Petoro AS,TUNE,0.01,0.10,0.00,0.00,0.11,31.12.2018,40.00000,853376,1626839,20.02.2019
Petoro AS,URD,0.49,0.00,0.00,0.00,0.49,31.12.2018,24.54546,2834734,1626839,20.02.2019
Petoro AS,VALEMON,0.14,1.33,0.01,0.00,1.50,31.12.2018,30.00000,20460969,1626839,20.02.2019
Petoro AS,VEGA,0.79,3.32,1.18,0.00,6.35,31.12.2018,30.00000,4467595,1626839,20.02.2019
Petoro AS,VESLEFRIKK,0.50,0.30,0.09,0.00,0.96,31.12.2018,37.00000,43618,1626839,20.02.2019
Petoro AS,VEST EKOFISK,0.00,0.00,0.00,0.00,0.00,31.12.2018,5.00000,43513,1626839,20.02.2019
Petoro AS,VIGDIS,3.08,0.00,0.01,0.00,3.09,31.12.2018,30.00000,43732,1626839,20.02.2019
Petoro AS,VISUND,2.18,11.92,1.46,0.00,16.88,31.12.2018,30.00000,43745,1626839,20.02.2019
Petoro AS,VISUND SØR,0.08,0.49,0.07,0.00,0.71,31.12.2018,30.00000,20461008,1626839,20.02.2019
Petoro AS,YTTERGRYTA,0.00,0.00,0.00,0.00,0.00,31.12.2018,19.95000,4973114,1626839,20.02.2019
Petoro AS,ÅSGARD,2.61,14.30,2.81,0.00,22.24,31.12.2018,35.69000,43765,1626839,20.02.2019
Petrolia NOCO AS,FLYNDRE,0.00,0.00,0.00,0.00,0.00,31.12.2018,0.82500,24635035,28518657,20.02.2019
PGNiG Upstream Norway AS,GINA KROG,0.90,0.96,0.17,0.00,2.17,31.12.2018,8.00000,23384544,29394105,20.02.2019
PGNiG Upstream Norway AS,MORVIN,0.07,0.05,0.01,0.00,0.15,31.12.2018,6.00000,4966234,29394105,20.02.2019
PGNiG Upstream Norway AS,SKARV,0.72,1.98,0.22,0.00,3.12,31.12.2018,11.91750,4704482,29394105,20.02.2019
PGNiG Upstream Norway AS,SKOGUL,0.47,0.05,0.00,0.00,0.52,31.12.2018,35.00000,31164600,29394105,20.02.2019
PGNiG Upstream Norway AS,TOMMELITEN GAMMA,0.00,0.00,0.00,0.00,0.00,31.12.2018,42.38000,43444,29394105,20.02.2019
PGNiG Upstream Norway AS,VALE,0.09,0.13,0.00,0.00,0.22,31.12.2018,24.24300,1578893,29394105,20.02.2019
PGNiG Upstream Norway AS,VILJE,0.58,0.00,0.00,0.00,0.58,31.12.2018,24.24300,3392471,29394105,20.02.2019
PGNiG Upstream Norway AS,ÆRFUGL,0.69,3.59,0.40,0.00,5.03,31.12.2018,11.91750,33310197,29394105,20.02.2019
Repsol Norge AS,BLANE,0.12,0.00,0.00,0.00,0.12,31.12.2018,18.00000,3437650,27052812,20.02.2019
Repsol Norge AS,BRAGE,1.21,0.25,0.08,0.00,1.62,31.12.2018,33.84340,43651,27052812,20.02.2019
Repsol Norge AS,GUDRUN,1.14,1.18,0.11,0.00,2.52,31.12.2018,15.00000,18116481,27052812,20.02.2019
Repsol Norge AS,GYDA,0.00,0.00,0.00,0.00,0.00,31.12.2018,61.00000,43492,27052812,20.02.2019
Repsol Norge AS,MIKKEL,0.14,0.77,0.20,0.00,1.27,31.12.2018,7.65000,1630514,27052812,20.02.2019
Repsol Norge AS,REV,0.01,0.01,0.00,0.00,0.01,31.12.2018,70.00000,4467554,27052812,20.02.2019
Repsol Norge AS,TAMBAR ØST,0.01,0.00,0.00,0.00,0.01,31.12.2018,9.76000,4999528,27052812,20.02.2019
Repsol Norge AS,VESLEFRIKK,0.37,0.22,0.06,0.00,0.70,31.12.2018,27.00000,43618,27052812,20.02.2019
Repsol Norge AS,VISUND,0.56,3.06,0.37,0.00,4.33,31.12.2018,7.70000,43745,27052812,20.02.2019
Repsol Norge AS,VISUND SØR,0.02,0.13,0.02,0.00,0.18,31.12.2018,7.70000,20461008,27052812,20.02.2019
Repsol Norge AS,YME,5.59,0.00,0.00,0.00,5.59,31.12.2018,55.00000,43807,27052812,20.02.2019
Spirit Energy Norway AS,HANZ,0.34,0.06,0.01,0.00,0.42,31.12.2018,15.00000,25307278,33342085,20.02.2019
Spirit Energy Norway AS,HEIMDAL,0.00,0.01,0.00,0.00,0.01,31.12.2018,28.79800,43590,33342085,20.02.2019
Spirit Energy Norway AS,IVAR AASEN,2.27,0.36,0.06,0.00,2.74,31.12.2018,12.31730,23384520,33342085,20.02.2019
Spirit Energy Norway AS,KVITEBJØRN,0.89,4.43,0.45,0.00,6.18,31.12.2018,19.00000,1036101,33342085,20.02.2019
Spirit Energy Norway AS,MARIA,1.37,0.11,0.07,0.00,1.60,31.12.2018,20.00000,26465170,33342085,20.02.2019
Spirit Energy Norway AS,NOVA,1.83,0.43,0.13,0.00,2.50,31.12.2018,20.00000,33197696,33342085,20.02.2019
Spirit Energy Norway AS,ODA,2.02,0.08,0.00,0.00,2.10,31.12.2018,40.00000,29412516,33342085,20.02.2019
Spirit Energy Norway AS,SINDRE,0.00,0.00,0.00,0.00,0.00,31.12.2018,9.50000,29401178,33342085,20.02.2019
Spirit Energy Norway AS,STATFJORD,0.84,1.36,0.46,0.00,3.09,31.12.2018,19.76464,43658,33342085,20.02.2019
Spirit Energy Norway AS,STATFJORD NORD,0.57,0.03,0.01,0.00,0.62,31.12.2018,23.12500,43679,33342085,20.02.2019
Spirit Energy Norway AS,STATFJORD ØST,0.02,0.00,0.00,0.00,0.03,31.12.2018,11.56250,43672,33342085,20.02.2019
Spirit Energy Norway AS,SYGNA,0.09,0.00,0.00,0.00,0.09,31.12.2018,12.71870,104718,33342085,20.02.2019
Spirit Energy Norway AS,TRYM,0.10,0.46,0.00,0.00,0.56,31.12.2018,50.00000,18081500,33342085,20.02.2019
Spirit Energy Norway AS,VALE,0.19,0.27,0.00,0.00,0.46,31.12.2018,50.00000,1578893,33342085,20.02.2019
Spirit Energy Norway AS,VALEMON,0.06,0.58,0.01,0.00,0.65,31.12.2018,13.00000,20460969,33342085,20.02.2019
Spirit Energy Norway AS,VEGA,0.16,0.69,0.25,0.00,1.32,31.12.2018,6.25000,4467595,33342085,20.02.2019
Suncor Energy Norge AS,FENJA,1.91,0.59,0.10,0.00,2.69,31.12.2018,17.50000,31164879,20426420,20.02.2019
Suncor Energy Norge AS,ODA,1.51,0.06,0.00,0.00,1.58,31.12.2018,30.00000,29412516,20426420,20.02.2019
Total E&P Norge AS,ALBUSKJELL,0.00,0.00,0.00,0.00,0.00,31.12.2018,39.89600,43437,2410708,20.02.2019
Total E&P Norge AS,ATLA,0.00,0.00,0.00,0.00,0.00,31.12.2018,40.00000,21106284,2410708,20.02.2019
Total E&P Norge AS,COD,0.00,0.00,0.00,0.00,0.00,31.12.2018,39.89600,43785,2410708,20.02.2019
Total E&P Norge AS,EDDA,0.00,0.00,0.00,0.00,0.00,31.12.2018,39.89600,43541,2410708,20.02.2019
Total E&P Norge AS,EKOFISK,29.29,4.39,0.55,0.00,34.72,31.12.2018,39.89600,43506,2410708,20.02.2019
Total E&P Norge AS,ELDFISK,9.19,1.05,0.15,0.00,10.53,31.12.2018,39.89600,43527,2410708,20.02.2019
Total E&P Norge AS,EMBLA,0.29,0.29,0.04,0.00,0.65,31.12.2018,39.89600,43534,2410708,20.02.2019
Total E&P Norge AS,FLYNDRE,0.04,0.00,0.00,0.00,0.04,31.12.2018,6.25500,24635035,2410708,20.02.2019
Total E&P Norge AS,GIMLE,0.00,0.00,0.00,0.00,0.00,31.12.2018,4.89500,4005142,2410708,20.02.2019
Total E&P Norge AS,HEIMDAL,0.00,0.01,0.00,0.00,0.01,31.12.2018,16.75900,43590,2410708,20.02.2019
Total E&P Norge AS,ISLAY,0.00,0.00,0.00,0.00,0.00,31.12.2018,5.51000,21105675,2410708,20.02.2019
Total E&P Norge AS,JOHAN SVERDRUP,34.32,0.86,0.38,0.00,35.90,31.12.2018,8.44000,26376286,2410708,20.02.2019
Total E&P Norge AS,KRISTIN,0.10,0.21,0.05,0.00,0.40,31.12.2018,6.00000,1854729,2410708,20.02.2019
Total E&P Norge AS,KVITEBJØRN,0.23,1.17,0.12,0.00,1.63,31.12.2018,5.00000,1036101,2410708,20.02.2019
Total E&P Norge AS,OSEBERG,2.58,9.69,0.53,0.00,13.27,31.12.2018,14.70000,43625,2410708,20.02.2019
Total E&P Norge AS,OSEBERG SØR,1.76,1.64,0.15,0.00,3.69,31.12.2018,14.70000,43645,2410708,20.02.2019
Total E&P Norge AS,OSEBERG ØST,0.41,0.00,0.01,0.00,0.43,31.12.2018,14.70000,43639,2410708,20.02.2019
Total E&P Norge AS,SINDRE,0.00,0.00,0.00,0.00,0.00,31.12.2018,4.95000,29401178,2410708,20.02.2019
Total E&P Norge AS,SKIRNE,0.01,0.09,0.00,0.00,0.10,31.12.2018,40.00000,2138816,2410708,20.02.2019
Total E&P Norge AS,SNØHVIT,0.00,28.62,1.03,2.98,33.56,31.12.2018,18.40000,2053062,2410708,20.02.2019
Total E&P Norge AS,TOMMELITEN GAMMA,0.00,0.00,0.00,0.00,0.00,31.12.2018,20.23000,43444,2410708,20.02.2019
Total E&P Norge AS,TOR,0.00,0.00,0.00,0.00,0.00,31.12.2018,48.19879,43520,2410708,20.02.2019
Total E&P Norge AS,TROLL,0.52,28.97,0.48,0.00,30.41,31.12.2018,3.69096,46437,2410708,20.02.2019
Total E&P Norge AS,TUNE,0.00,0.03,0.00,0.00,0.03,31.12.2018,10.00000,853376,2410708,20.02.2019
Total E&P Norge AS,TYRIHANS,1.31,7.26,1.45,0.00,11.33,31.12.2018,23.14540,3960848,2410708,20.02.2019
Total E&P Norge AS,VEST EKOFISK,0.00,0.00,0.00,0.00,0.00,31.12.2018,39.89600,43513,2410708,20.02.2019
Total E&P Norge AS,YTTERGRYTA,0.00,0.00,0.00,0.00,0.00,31.12.2018,24.50000,4973114,2410708,20.02.2019
Total E&P Norge AS,ÅSGARD,0.56,3.08,0.60,0.00,4.79,31.12.2018,7.68000,43765,2410708,20.02.2019
Vår Energi AS,ALBUSKJELL,0.00,0.00,0.00,0.00,0.00,31.12.2018,12.38800,43437,33360957,20.02.2019
Vår Energi AS,BALDER,14.64,0.03,0.00,0.00,14.67,31.12.2018,100.00000,43562,33360957,20.02.2019
Vår Energi AS,BAUGE,1.39,0.33,0.17,0.00,2.05,31.12.2018,17.50000,29446221,33360957,20.02.2019
Vår Energi AS,BRAGE,0.44,0.09,0.03,0.00,0.59,31.12.2018,12.25750,43651,33360957,20.02.2019
Vår Energi AS,BØYLA,0.16,0.00,0.00,0.00,0.16,31.12.2018,20.00000,22492497,33360957,20.02.2019
Vår Energi AS,COD,0.00,0.00,0.00,0.00,0.00,31.12.2018,12.38800,43785,33360957,20.02.2019
Vår Energi AS,EDDA,0.00,0.00,0.00,0.00,0.00,31.12.2018,12.38800,43541,33360957,20.02.2019
Vår Energi AS,EKOFISK,9.10,1.36,0.17,0.00,10.78,31.12.2018,12.38800,43506,33360957,20.02.2019
Vår Energi AS,ELDFISK,2.85,0.33,0.05,0.00,3.27,31.12.2018,12.38800,43527,33360957,20.02.2019
Vår Energi AS,EMBLA,0.09,0.09,0.01,0.00,0.20,31.12.2018,12.38800,43534,33360957,20.02.2019
Vår Energi AS,FENJA,4.91,1.52,0.26,0.00,6.91,31.12.2018,45.00000,31164879,33360957,20.02.2019
Vår Energi AS,GLITNE,0.00,0.00,0.00,0.00,0.00,31.12.2018,20.00000,1272071,33360957,20.02.2019
Vår Energi AS,GOLIAT,14.46,0.00,0.00,0.00,14.46,31.12.2018,65.00000,5774394,33360957,20.02.2019
Vår Energi AS,HEIDRUN,1.85,1.32,0.07,0.00,3.30,31.12.2018,5.17522,43771,33360957,20.02.2019
Vår Energi AS,HYME,0.23,0.10,0.04,0.00,0.39,31.12.2018,17.50000,20474183,33360957,20.02.2019
Vår Energi AS,JOHAN CASTBERG,26.67,0.00,0.00,0.00,26.67,31.12.2018,30.00000,32017325,33360957,20.02.2019
Vår Energi AS,JOTUN,0.00,0.00,0.00,0.00,0.00,31.12.2018,100.00000,43604,33360957,20.02.2019
Vår Energi AS,KRISTIN,0.14,0.29,0.06,0.00,0.55,31.12.2018,8.24780,1854729,33360957,20.02.2019
Vår Energi AS,MARULK,0.02,0.41,0.04,0.00,0.51,31.12.2018,20.00000,18212090,33360957,20.02.2019
Vår Energi AS,MIKKEL,0.26,1.50,0.38,0.00,2.48,31.12.2018,14.90000,1630514,33360957,20.02.2019
Vår Energi AS,MORVIN,0.35,0.27,0.07,0.00,0.76,31.12.2018,30.00000,4966234,33360957,20.02.2019
Vår Energi AS,NORNE,0.21,0.37,0.05,0.00,0.67,31.12.2018,6.90000,43778,33360957,20.02.2019
Vår Energi AS,RINGHORNE ØST,3.15,0.00,0.00,0.00,3.15,31.12.2018,77.38000,3505505,33360957,20.02.2019
Vår Energi AS,SKULD,0.19,0.00,0.00,0.00,0.19,31.12.2018,11.50000,21350124,33360957,20.02.2019
Vår Energi AS,SNORRE,1.02,0.00,0.00,0.00,1.02,31.12.2018,1.10740,43718,33360957,20.02.2019
Vår Energi AS,TOMMELITEN GAMMA,0.00,0.00,0.00,0.00,0.00,31.12.2018,9.13000,43444,33360957,20.02.2019
Vår Energi AS,TOR,0.00,0.00,0.00,0.00,0.00,31.12.2018,10.81656,43520,33360957,20.02.2019
Vår Energi AS,TRESTAKK,0.90,0.06,0.01,0.00,0.98,31.12.2018,7.90000,29396445,33360957,20.02.2019
Vår Energi AS,TYRIHANS,0.35,1.96,0.39,0.00,3.05,31.12.2018,6.23220,3960848,33360957,20.02.2019
Vår Energi AS,URD,0.23,0.00,0.00,0.00,0.23,31.12.2018,11.50000,2834734,33360957,20.02.2019
Vår Energi AS,VEST EKOFISK,0.00,0.00,0.00,0.00,0.00,31.12.2018,12.38800,43513,33360957,20.02.2019
Vår Energi AS,YTTERGRYTA,0.00,0.00,0.00,0.00,0.00,31.12.2018,9.80000,4973114,33360957,20.02.2019
Vår Energi AS,ÅSGARD,1.08,5.94,1.17,0.00,9.24,31.12.2018,14.82000,43765,33360957,20.02.2019
Wellesley Petroleum AS,FRIGG,0.00,0.00,0.00,0.00,0.00,31.12.2018,10.00000,43555,26464257,20.02.2019
Wellesley Petroleum AS,MIME,0.00,0.00,0.00,0.00,0.00,31.12.2018,20.00000,43792,26464257,20.02.2019
Wellesley Petroleum AS,NORDØST FRIGG,0.00,0.00,0.00,0.00,0.00,31.12.2018,10.00000,43568,26464257,20.02.2019
Wellesley Petroleum AS,ODIN,0.00,0.00,0.00,0.00,0.00,31.12.2018,10.00000,43610,26464257,20.02.2019
Wintershall Norge AS,BRAGE,1.26,0.26,0.08,0.00,1.68,31.12.2018,35.20000,43651,21666830,20.02.2019
Wintershall Norge AS,EDVARD GRIEG,3.77,0.35,0.10,0.00,4.32,31.12.2018,15.00000,21675433,21666830,20.02.2019
Wintershall Norge AS,GJØA,0.23,2.09,0.47,0.00,3.21,31.12.2018,20.00000,4467574,21666830,20.02.2019
Wintershall Norge AS,IVAR AASEN,1.19,0.19,0.03,0.00,1.44,31.12.2018,6.46150,23384520,21666830,20.02.2019
Wintershall Norge AS,KNARR,0.35,0.00,0.01,0.00,0.37,31.12.2018,20.00000,20460988,21666830,20.02.2019
Wintershall Norge AS,MARIA,3.42,0.28,0.17,0.00,4.01,31.12.2018,50.00000,26465170,21666830,20.02.2019
Wintershall Norge AS,NOVA,3.20,0.75,0.23,0.00,4.38,31.12.2018,35.00000,33197696,21666830,20.02.2019
Wintershall Norge AS,VEGA,1.47,6.23,2.21,0.00,11.90,31.12.2018,56.25000,4467595,21666830,20.02.2019
Wintershall Norge AS,VESLEFRIKK,0.06,0.04,0.01,0.00,0.12,31.12.2018,4.50000,43618,21666830,20.02.2019
Wintershall Norge AS,AASTA HANSTEEN,0.00,13.05,0.00,0.15,13.19,31.12.2018,24.00000,23395946,21666830,20.02.2019

